uuid,additive_name,alternative_name,cas,iupac_name,molecular_weight,type,formula,smiles,active
02f2f01e-d1d1-11ea-b497-061f61387e64,V-04PF,,,,,,,,true
2788cd79-4926-11eb-b497-061f61387e64,MBM (M30507),,,,,,,,true
3aacce03-ebbc-11ea-b497-061f61387e64,RHEOBYK 410,,,,,,,,true
42cf4f8c-ebbc-11ea-b497-061f61387e64,RHEOBYK 7410-ET,,,,,,,,true
49907df8-bae6-11ea-b497-061f61387e64,songnox CS1135,,,,,,,,true
4bdde390-4926-11eb-b497-061f61387e64,HPK (405612),,,,,,,,true
4dea1d27-e70d-11ea-b497-061f61387e64,BYK-UV 3505,,,,,,,,true
514b8b13-bae6-11ea-b497-061f61387e64,RAD 2250,,,,,,,,true
5173c43f-b5d9-11ea-864f-24418c6578e4,MHQ,,95-71-6,,,,,CC1=C(C=CC(=C1)O)O,true
5173c64f-b5d9-11ea-864f-24418c6578e4,TPO,,75980-60-8,,,,,CC1=CC(=C(C(=C1)C)C(=O)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3)C,true
5173c71b-b5d9-11ea-864f-24418c6578e4,BAPO,,162881-26-7,,,,,CC1=CC(=C(C(=C1)C)C(=O)P(=O)(C2=CC=CC=C2)C(=O)C3=C(C=C(C=C3C)C)C)C,true
5173c785-b5d9-11ea-864f-24418c6578e4,MTMP,,25555567,,,,,CC(C)(C(=O)C1=CC=C(C=C1)SC)N2CCOCC2,true
51748ad2-b5d9-11ea-864f-24418c6578e4,JPP100,,80584-85-6,,,,,CC(COCC(C)OP(OC1=CC=CC=C1)OC2=CC=CC=C2)OP(OC3=CC=CC=C3)OC4=CC=CC=C4,true
51748cd9-b5d9-11ea-864f-24418c6578e4,"BHT
",,,,,,,,true
51748d6c-b5d9-11ea-864f-24418c6578e4,Pyridine,,110-86-1,,,,,C1=CC=NC=C1,true
51748ddb-b5d9-11ea-864f-24418c6578e4,EFKA5651,,143-29-3,,,,,CCCCOCCOCCOCOCCOCCOCCCC,true
51748e46-b5d9-11ea-864f-24418c6578e4,DBP,,84-74-2,,,,,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,true
51748ed0-b5d9-11ea-864f-24418c6578e4,C130,,,,,,,,true
51748f2c-b5d9-11ea-864f-24418c6578e4,BHT,,128-37-0,,,,,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,true
51757e11-b5d9-11ea-864f-24418c6578e4,"BDPC
",,,,,,,,true
51765a1a-b5d9-11ea-864f-24418c6578e4,DISPERS656,,,,,,,,true
51765b85-b5d9-11ea-864f-24418c6578e4,DISPERS655,,,,,,,,true
51765c19-b5d9-11ea-864f-24418c6578e4,DISPERS685,,,,,,,,true
51765e6b-b5d9-11ea-864f-24418c6578e4,BZP,,2759-28-6,,,,,C1CN(CCN1)CC2=CC=CC=C2,true
51765ee3-b5d9-11ea-864f-24418c6578e4,U410M,,,,,,,,true
51765f48-b5d9-11ea-864f-24418c6578e4,THA,,1684-40-8,,,,,C1CCC2=NC3=CC=CC=C3C(=C2C1)N.Cl,true
51765faf-b5d9-11ea-864f-24418c6578e4,MBF,,15206-55-0,,,,,CC1=CC=CC=C1C(=O)OC=O,true
