uuid,monomer_name,alternative_name,cas,iupac_name,functional_group,functional_subgroup,number_functional_groups,functional_group_order,molecular_weight,formula,smiles,active,creation_date
012b2ad3-bf93-11ea-864f-24418c6578e4,R93100,,,,alkene,methacrylate,2,secondary_alkene,,C29H36O8,CC(=C)C(=O)OCC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)OCC(COC(=O)C(=C)C)O)O,true,2020-07-13 04:10:07
061a2088-bf92-11ea-864f-24418c6578e4,APE,,,,alkene,allyl,3,primary_alkene,,C14H24O4,C=CCOCC(CO)(COCC=C)COCC=C,true,2020-07-13 04:10:07
071de19d-5a82-11eb-b497-061f61387e64,BMBP,,,"4,4′-Bis(mercaptomethyl)biphenyl",thiol,thiol,2,primary_thiol,,C14H14S2 ,	SCc1ccc(cc1)-c2ccc(CS)cc2,true,2021-01-19 18:13:27
1547ce02-bf93-11ea-864f-24418c6578e4,HDDA,,13048-33-4,"1,6-Hexanediol diacrylate",alkene,acrylate,2,primary_alkene,226.27,C12H18O4,C=CC(=O)OCCCCCCOC(=O)C=C,true,2020-07-13 04:10:07
18dc8a37-bf92-11ea-864f-24418c6578e4,Acr7,,24447-78-7,Bisphenol A bis(2-hydroxyethyl ether) diacrylate,alkene,acrylate,2,primary_alkene,424.5,C25H28O6,CC(C)(C1=CC=C(C=C1)OCCOC(=O)C=C)C2=CC=C(C=C2)OCCOC(=O)C=C,true,2020-07-13 04:10:07
1a6d3f6f-495d-11eb-b497-061f61387e64,ACRYLOXY Siloxane,,,ACRYLOXY TERMINATED ETHYLENEOXIDE DIMETHYLSILOXANE-ETHYLENEOXIDE,,,,,,,,true,2020-12-28 22:36:18
1c2bfd2b-e65b-11eb-9289-061f61387e64,TVS,,,Tetravinylsilane,alkene,vinyl,4,primary_alkene,,C8H12Si,C=C[Si](C=C)(C=C)C=C,true,2021-07-16 17:27:35
25ed29d9-1317-11eb-b497-061f61387e64,C150,,,,,,,,,,,true,2020-10-20 20:59:30
275a4a83-e358-11eb-9289-061f61387e64,TAGXL,,,"1,1,2,2-Tetraallyloxyethane",alkene,allyl,4,primary_alkene,,C14H22O4,C=CCOC(OCC=C)C(OCC=C)OCC=C,true,2021-07-12 21:28:52
2efed34f-b4f3-11eb-b497-061f61387e64,Aronix 6812,,,,,,,,,,,true,2021-05-14 20:30:12
370d41da-1ae2-11eb-b497-061f61387e64,BR-744SD,,,,,,,,,,,true,2020-10-30 19:00:45
45fcffaa-40b7-11eb-b497-061f61387e64,Fluoro-diacrylate,,,"2,2,3,3,4,4-Hexafluoro-1,5-pentyldimethacrylate",,,,,,C13H14O4F6,,true,2020-12-17 22:29:06
51675e44-b5d9-11ea-864f-24418c6578e4,TEMPIC,TMEPIC,36196-44-8,,thiol,thiol,3,primary_thiol,525.6,C18H27N3O9S3,C(CS)C(=O)OCCN1C(=O)N(C(=O)N(C1=O)CCOC(=O)CCS)CCOC(=O)CCS,true,2020-06-24 00:12:36
516760ae-b5d9-11ea-864f-24418c6578e4,PE1,PE-1,31775-89-0,Pentaerythritol tetrakis (3-mercaptobutylate),thiol,thiol,4,secondary_thiol,544.8,C21H36O8S4,CC(CC(=O)OCC(COC(=O)CC(C)S)(COC(=O)CC(C)S)COC(=O)CC(C)S)S,true,2020-06-24 00:12:36
51676243-b5d9-11ea-864f-24418c6578e4,PETMP,"4T, PEMP-LV",7575-23-7,Pentaerythritol tetrakis(3-mercaptopropionate),thiol,thiol,4,primary_thiol,488.7,C17H28O8S4,C(CS)C(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,true,2020-06-24 00:12:36
51676363-b5d9-11ea-864f-24418c6578e4,TMPMP,TMTMP,33007-83-9,Trimethylolpropane tris(3-mercaptopropionate),thiol,thiol,3,primary_thiol,398.56,C15H26O6S3,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,true,2020-06-24 00:12:36
5168230f-b5d9-11ea-864f-24418c6578e4,TAICROS,TATATO,1025-15-6,Triallyl isocyanurate,alkene,allyl,3,primary_alkene,249.27,C12H15N3O3,C=CCN1C(=O)N(C(=O)N(C1=O)CC=C)CC=C,true,2020-06-24 00:12:36
51682533-b5d9-11ea-864f-24418c6578e4,TAcICN,"TAIC, A-9300, PH4356",40220-08-04,"2,4,6-Trioxo-1,3,5-triazinane-1,3,5-triyl)triethane-2,1-diyl trisprop-2-enoate",alkene,acrylate,3,primary_alkene,423.4,C18H21N3O9,C=CC(=O)OCCN1C(=O)N(C(=O)N(C1=O)CCOC(=O)C=C)CCOC(=O)C=C,true,2020-06-24 00:12:36
516825c2-b5d9-11ea-864f-24418c6578e4,IPDI,,4098-71-9,Isophorone diisocyanate,isocyanate,isocyanate,2,,222.28,C12H18N2O2,CC1(CC(CC(C1)(C)CN=C=O)N=C=O)C,true,2020-06-24 00:12:36
5168270d-b5d9-11ea-864f-24418c6578e4,DAP,,,,,,,,,,,true,2020-06-24 00:12:36
5168281a-b5d9-11ea-864f-24418c6578e4,DIP,,1087-21-4,Diallyl isophthalate,alkene,allyl,2,primary_alkene,246.26,C14H14O4,C=CCOC(=O)C1=CC(=CC=C1)C(=O)OCC=C,true,2020-06-24 00:12:36
5168287b-b5d9-11ea-864f-24418c6578e4,GDMP,"2T, HD-SH ",22504-50-3,Ethylene bis(3-mercaptopropionate),thiol,thiol,2,primary_thiol,238.3,C8H14O4S2,C(CS)C(=O)OCCOC(=O)CCS,true,2020-06-24 00:12:36
516828dc-b5d9-11ea-864f-24418c6578e4,CN9090,,,,,,,,,,,true,2020-06-24 00:12:36
51690be6-b5d9-11ea-864f-24418c6578e4,TCMDA,R-684,42594-17-2,"Tricyclodecanedimethanol (1,5)-diacrylate",alkene,acrylate,2,primary_alkene,304.4,C18H24O4,C=CC(=O)OCC1CCC2C1C3CC(C2C3)COC(=O)C=C,true,2020-06-24 00:12:36
51690f71-b5d9-11ea-864f-24418c6578e4,GE24,,,,,,,,,,,true,2020-06-24 00:12:36
5169cc8a-b5d9-11ea-864f-24418c6578e4,EDDT,,14970-87-7,"1,2-Bis(2-mercaptoethoxy)ethane",thiol,thiol,2,primary_thiol,182.3,C6H14O2S2,C(COCCS)OCCS,true,2020-06-24 00:12:36
5169cdcf-b5d9-11ea-864f-24418c6578e4,DoDT,,112-55-0,1-Dodecanethiol,thiol,thiol,1,primary_thiol,202.4,C12H26S,CCCCCCCCCCCCS,true,2020-06-24 00:12:36
5169ce54-b5d9-11ea-864f-24418c6578e4,NR1,NR-1,928339-75-9,"1,3,5-Tris(3-melcaptobutyloxethyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione",thiol,thiol,3,secondary_thiol,567.7,C21H33O9N3S3,CC(S)CC(=O)OCCN1C(=O)N(CCOC(=O)CC(C)S)C(=O)N(CCOC(=O)CC(C)S)C1=O,true,2020-06-24 00:12:36
