uuid,name,active,units
e6ff9321-8114-11ea-ae7c-24418c6578e4,L*,true,
2b392386-ec60-11ea-b497-061f61387e64,Linear Peel (T-peel),true,N/cm
cb74edca-cab1-11ea-b497-061f61387e64,Peel Strength (T-peel),true,N/cm
aef81adf-b648-11ea-b497-061f61387e64,Pencil Hardness,true,
6f893a57-ec60-11ea-b497-061f61387e64,Recovery Ratio,true,%
d635f3ad-8114-11ea-ae7c-24418c6578e4,Resin Viscosity,true,cP
a53d1abf-9191-11eb-b497-061f61387e64,Rubbery Modulus,true,MPa
34faa352-c121-11ea-b497-061f61387e64,Storage Modulus,true,MPa
0aa07c59-8115-11ea-ae7c-24418c6578e4,Strain to Failure,true,%
ce50a621-8114-11ea-ae7c-24418c6578e4,Thickness of Color Sample,true,μm
5cf15d27-bb10-11ea-b497-061f61387e64,Toughness,true,J/m^3
d8c72237-8114-11ea-ae7c-24418c6578e4,Visible Light Transmission,true,%
536ab84e-dd85-11ea-b497-061f61387e64,Water Contact Angle,true,°
e4a271d4-8114-11ea-ae7c-24418c6578e4,Yellow Index,true,
f5bf01b8-8114-11ea-ae7c-24418c6578e4,Young Modulus,true,MPa
0d6e3ac4-719b-40a1-aff7-2ae9e0d4e391,Martens Hardness,true,HM
1fe30e17-3a3e-4576-95f9-820c84d629b7,Haze,true,%
8761df52-81ef-46f9-b5d1-a443ae85610c,Hard Coat Adhesion,true,
b302e2f4-cf86-11eb-b497-061f61387e64,Cyclic Recovery Ratio,true,%
be262402-bfed-11eb-b497-061f61387e64,Df,true,
1371ff0a-d84e-11eb-b497-061f61387e64,Static Bend Angle,true,
f0c31aca-8114-11ea-ae7c-24418c6578e4,Index of Refraction,true,
0e218603-8115-11ea-ae7c-24418c6578e4,Tg,true,C
3da16f3c-c860-4b3f-a26a-a606f3654953,a*,true,
41af812a-58a0-44fd-93fe-9d6cd06de926,b*,true,
07705419-8115-11ea-ae7c-24418c6578e4,Ultimate Tensile Strength,true,MPa
abce70d0-e9a4-4e72-8eaf-389b5cdb2c17,Dielectric Constant
d62b210e-c08d-4c98-b26b-60c67ea8bced7,Density,kg/m3
d0401515-946e-4584-8503-07ab534be069,Thermal Degradation Temperature,%
7ffc51a7-7173-4834-a32b-f921377ef563,Coefficient of Thermal Expansion,%
68ffaada-a771-4b5f-9dfd-db8137f9f903,Thermal Shrinkage,%
3a642139-8646-4a7a-92ee-d45a49f7da35,Storage Modulus,
97586709-daf0-4c6d-ae41-0f04c4d0531a,Viscoelastic Region,
b3480419-4a7d-484c-b963-bfaebb6ad8a2,Creep,
40934cd3-3fc4-4970-9848-f7d932942e9f,Ultimate Elongation,%
46b227d2-49eb-420d-89a0-b30c1a10d937,Yield Strength,N/m²
0df83e7e-e43d-4c78-94eb-d8887442347a,Yield Strain,Pa
577493b0-c084-4122-8e16-f2f9341b8ca5,90º Adhesion Test,J/m2
28704cff-27f0-4685-b819-516085b4aa33,180º Adhesion Test,J/m2
7d0c4099-a60d-44b8-9e8d-8c36186ba94e,Folding Endurance,
717423b1-8d2a-4c0b-b2c0-eee972a2c88c,Percentage,%
